state,total_cases,number_injured,number_killed,total_casualty,people_involved,spv,upd,tbt,mdv,bfl,ovl,dot,wot
Lagos,138,209,52,261,56,0,4,12,8,0,0,5,7
Nasarawa,208,532,55,587,113,1,14,6,2,2,0,9,21
Niger,150,499,78,577,98,1,4,4,3,0,0,13,4
Ogun,283,621,97,718,262,0,28,4,9,4,0,25,11
Ondo,113,278,39,317,68,0,5,1,3,0,0,7,3
Osun,89,230,54,284,59,0,6,1,5,1,0,5,0
Oyo,144,370,94,464,106,0,12,0,5,2,0,10,6
Plateau,61,194,33,227,32,0,0,0,7,0,0,5,3
Rivers,22,34,11,45,11,0,4,0,3,0,0,0,2
Sokoto,17,58,8,66,14,0,0,0,0,2,0,2,4
Taraba,47,99,10,109,8,0,1,0,0,0,0,1,9
Yobe,50,305,32,337,11,0,9,2,0,0,0,2,2
Zamfara,19,146,32,178,8,0,0,0,0,0,0,2,1
TOTAL,2967,8377,1409,9786,1681,5,190,66,124,21,6,174,125
STATE,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD
Abia,15,42,11,53,5,0,7,2,4,0,0,0,0
Adamawa,32,89,6,95,21,0,1,1,2,0,0,2,4
Akwa Ibom,8,14,3,17,9,0,0,0,0,0,0,0,0
Anambra,34,90,19,109,14,1,4,0,10,0,0,10,0
Bauchi,51,159,16,175,36,0,9,4,0,1,0,2,1
Bayelsa,5,2,0,2,6,0,0,0,0,0,0,1,0
Benue,55,176,13,189,44,0,3,1,1,0,0,2,1
Borno,28,93,17,110,8,0,2,0,0,2,0,6,0
Cross River,18,25,12,37,10,0,1,0,7,0,0,2,0
Delta,30,63,15,78,17,0,5,0,3,0,0,3,0
Ebonyi,19,39,10,49,12,0,1,0,0,0,0,4,0
Edo,33,79,16,95,40,0,2,2,11,0,0,1,0
Ekiti,29,53,23,76,28,0,1,0,1,0,0,1,0
Enugu,32,96,31,127,18,0,1,0,14,0,0,1,1
FCT,349,607,82,689,278,0,17,12,9,0,4,8,16
Gombe,40,140,11,151,17,0,8,5,2,0,0,3,3
Imo,20,107,10,117,9,0,4,0,4,0,0,1,2
Jigawa,64,217,21,238,89,0,8,0,0,5,0,2,1
Kaduna,117,481,82,563,71,0,7,1,0,1,2,7,8
Kano,43,132,24,156,25,0,1,1,0,1,0,5,7
Katsina,18,78,13,91,17,0,3,1,0,0,0,3,0
Kebbi,10,14,0,14,10,0,0,0,0,0,0,0,0
Kogi,96,355,52,407,21,2,13,2,9,0,0,5,1
Kwara,73,222,51,273,30,0,5,4,2,0,0,19,7
Lagos,106,164,34,198,56,0,4,12,8,0,0,5,7
Nasarawa,162,411,37,448,113,1,14,6,2,2,0,9,21
Niger,101,382,56,438,98,1,4,4,3,0,0,13,4
Ogun,212,584,82,666,262,0,28,4,9,4,0,25,11
Ondo,68,161,44,205,68,0,5,1,3,0,0,7,3
Osun,67,239,41,280,59,0,6,1,5,1,0,5,0
Oyo,118,332,45,377,106,0,12,0,5,2,0,10,6
Plateau,44,100,4,104,32,0,0,0,7,0,0,5,3
Rivers,13,49,3,52,11,0,4,0,3,0,0,0,2
Sokoto,15,36,11,47,14,0,0,0,0,2,0,2,4
Taraba,24,79,0,79,8,0,1,0,0,0,0,1,9
Yobe,28,93,12,105,11,0,9,2,0,0,0,2,2
Zamfara,10,38,1,39,8,0,0,0,0,0,0,2,1
TOTAL,2187,6041,908,6949,1681,5,190,66,124,21,6,174,125
STATE,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD
Abia,26,159,14,173,6,0,5,0,3,0,0,2,0
Adamawa,42,153,11,164,29,0,4,2,0,1,0,1,2
Akwa Ibom,12,24,15,39,5,0,0,0,1,0,0,7,0
Anambra,32,71,9,80,17,0,0,0,10,4,0,1,1
Bauchi,83,361,46,407,67,0,23,3,5,4,0,5,9
Bayelsa,3,14,0,14,13,0,2,0,1,1,0,1,1
Benue,42,114,23,137,62,0,8,2,0,4,0,11,6
Borno,19,210,5,215,19,0,1,2,0,0,0,6,4
Cross River,26,42,16,58,25,0,0,1,4,0,0,6,1
Delta,38,123,29,152,26,1,5,0,3,0,0,4,0
Ebonyi,25,72,11,83,22,0,7,2,1,0,0,1,1
Edo,46,102,16,118,46,0,3,0,13,0,0,6,0
Ekiti,24,37,2,39,27,0,0,0,0,0,0,0,0
Enugu,42,193,16,209,39,0,0,0,6,0,0,1,1
FCT,296,548,69,617,280,0,18,3,6,0,0,2,11
Gombe,118,464,29,493,46,0,5,4,8,2,0,5,13
Imo,29,72,24,96,25,0,1,1,0,0,0,0,1
Jigawa,114,460,36,496,104,0,11,1,1,4,0,9,7
Kaduna,209,889,150,1039,96,1,13,6,0,2,0,18,13
Kano,59,265,62,327,44,0,2,0,0,1,0,3,5
Katsina,40,207,45,252,33,0,4,0,0,4,0,1,1
Kebbi,50,219,40,259,29,0,0,0,0,2,0,0,3
Kogi,107,355,65,420,126,1,21,6,11,0,0,22,0
Kwara,75,316,57,373,63,1,6,8,2,2,0,19,3
Lagos,101,127,17,144,71,0,1,8,6,0,0,5,4
Nasarawa,212,555,32,587,167,0,7,2,6,2,0,4,26
Niger,99,649,97,746,140,0,6,4,0,1,1,8,2
Ogun,202,521,102,623,261,0,34,12,2,0,0,16,8
Ondo,100,264,54,318,80,0,6,3,8,2,0,22,15
Osun,96,287,47,334,71,0,10,6,4,0,0,7,5
Oyo,127,372,78,450,84,0,8,3,8,1,1,8,1
Plateau,74,244,28,272,48,0,5,7,14,0,0,4,8
Rivers,16,28,3,31,17,0,1,0,2,0,0,0,0
Sokoto,25,110,13,123,41,0,0,1,0,0,1,2,6
Taraba,43,113,13,126,17,0,3,0,2,3,0,0,9
Yobe,50,340,31,371,38,0,4,1,0,6,0,0,5
Zamfara,15,36,18,54,14,0,0,0,0,0,0,2,0
TOTAL,2717,9116,1323,10439,2298,4,224,88,127,46,3,209,172
STATE,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,MDV,BFL,OVL,DOT,WOT,DGD,BRD,RTV,OBS
Abia,20,86,15,101,2,0,2,1,2,0,0,0,0
Adamawa,44,145,7,152,0,1,3,0,1,0,0,2,0
Akwa Ibom,13,35,12,47,0,0,0,1,0,0,1,0,0
Anambra,23,68,11,79,0,1,7,5,0,0,0,0,0
Bauchi,55,305,54,359,14,0,1,3,1,0,0,5,1
Bayelsa,9,16,6,22,3,1,0,1,0,0,0,0,0
Benue,69,267,37,304,4,2,4,2,2,0,0,12,2
Borno,12,26,3,29,0,2,0,0,0,0,1,0,0
Cross River,20,36,8,44,2,0,0,4,0,0,3,0,0
Delta,37,144,17,161,0,0,2,6,0,0,0,0,0
Ebonyi,18,45,12,57,6,0,0,0,0,0,1,1,0
Edo,50,117,16,133,29,1,0,8,0,0,1,0,7
Ekiti,21,60,3,63,13,2,2,2,0,0,0,0,0
Enugu,46,175,35,210,7,0,4,14,0,0,0,0,0
FCT,292,695,71,766,72,1,2,3,3,3,0,15,0
Gombe,71,243,33,276,5,4,0,3,3,0,1,7,0
Imo,12,74,21,95,0,1,3,1,0,0,0,0,0
Jigawa,60,185,26,211,30,0,6,0,0,0,0,4,0
Kaduna,157,765,124,889,1,3,6,1,3,2,1,9,1
Kano,48,233,74,307,26,0,1,0,3,0,1,2,0
Katsina,26,107,18,125,7,0,0,0,0,0,2,0,0
Kebbi,27,65,16,81,12,0,1,0,0,0,0,1,0
Kogi,105,330,89,419,1,2,17,7,0,0,0,0,1
Kwara,52,210,44,254,9,4,8,0,1,0,0,1,0
Lagos,147,186,31,217,12,14,11,9,0,0,0,2,0
Nasarawa,164,485,55,540,39,1,3,4,3,0,1,18,0
Niger,121,441,94,535,35,1,12,1,0,0,8,2,0
Ogun,179,519,92,611,93,19,7,7,1,0,1,4,1
Ondo,94,226,50,276,48,0,8,1,0,0,0,8,1
Osun,87,291,37,328,30,4,7,0,0,0,1,4,1
Oyo,133,421,103,524,78,1,8,8,2,0,1,0,2
Plateau,64,189,13,202,22,3,3,11,1,0,0,9,0
Rivers,13,31,14,45,3,0,0,1,0,0,0,0,0
Sokoto,25,107,19,126,18,3,3,0,1,0,0,4,0
Taraba,32,83,8,91,4,0,2,1,0,0,0,11,0
Yobe,38,155,21,176,9,0,1,0,2,0,0,7,0
Zamfara,20,84,16,100,5,0,0,1,0,0,4,0,0
TOTAL,2404,7650,1305,8955,639,71,134,106,29,5,28,128,17
STATE,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,SPV,UPD,TBT,LOC,MDV,WOV,BFL,OVL,DOT
Abia,15,104,17,121,4,0,4,5,0,2,1,2,0
Adamawa,43,107,10,117,16,1,2,6,0,0,0,0,0
Akwa Ibom,7,13,4,17,6,0,0,1,0,0,1,0,0
Anambra,21,49,15,64,4,0,2,0,1,4,8,0,0
Bauchi,46,260,17,277,22,0,8,14,0,1,0,3,0
Bayelsa,5,18,1,19,2,0,1,1,0,0,1,0,0
Benue,45,121,25,146,29,0,2,4,1,1,1,0,0
Borno,13,42,5,47,5,0,0,2,2,0,0,2,2
Cross River,17,34,6,40,9,0,0,1,0,0,1,0,0
Delta,25,65,10,75,11,0,0,5,0,2,1,0,0
Ebonyi,22,29,11,40,11,0,5,4,0,0,0,0,0
Edo,35,99,12,111,12,0,2,19,3,1,4,0,0
Ekiti,21,53,7,60,13,0,1,12,1,0,0,1,0
Enugu,28,66,14,80,17,0,1,9,1,3,6,0,0
FCT,159,323,56,379,115,2,10,73,12,10,4,0,2
Gombe,60,226,13,239,33,1,5,8,4,0,5,0,0
Imo,14,39,1,40,4,0,0,2,0,0,7,0,0
Jigawa,117,539,73,612,72,2,15,57,1,2,3,10,0
Kaduna,124,504,106,610,64,0,23,2,2,5,0,1,1
Kano,35,177,59,236,16,1,0,13,0,4,3,1,0
Katsina,17,90,26,116,13,0,0,6,0,1,0,0,0
Kebbi,30,99,32,131,18,0,1,10,1,0,0,0,0
Kogi,76,253,27,280,64,0,12,0,2,5,8,4,0
Kwara,53,198,32,230,34,0,5,9,7,12,0,0,0
Lagos,107,161,24,185,55,0,0,12,6,8,7,0,0
Nasarawa,101,303,17,320,60,1,4,22,2,3,0,1,0
Niger,84,369,113,482,49,0,5,30,0,3,4,1,1
Ogun,190,477,91,568,133,0,25,115,10,11,6,6,0
Ondo,64,122,41,163,34,1,3,31,3,3,1,1,0
Osun,67,263,44,307,49,0,3,40,7,4,2,0,0
Oyo,129,368,67,435,81,0,7,68,4,7,5,6,0
Plateau,52,154,14,168,17,0,2,9,0,7,9,2,0
Rivers,13,24,5,29,7,0,0,2,0,0,1,0,0
Sokoto,19,52,16,68,12,1,0,14,0,3,0,0,0
Taraba,29,66,5,71,5,0,3,9,1,2,1,0,0
Yobe,39,167,7,174,16,0,9,13,0,1,0,4,0
Zamfara,11,30,12,42,7,0,0,4,0,2,0,1,0
TOTAL,1933,6064,1035,7099,1119,10,160,632,71,107,90,46,6
