,precision,recall,f1-score,support
High,0.9577464788732394,0.9855072463768116,0.9714285714285714,69.0
Low,0.0,0.0,0.0,9.0
Medium,0.7674418604651163,0.9166666666666666,0.8354430379746836,36.0
accuracy,0.8859649122807017,0.8859649122807017,0.8859649122807017,0.8859649122807017
macro avg,0.575062779779452,0.6340579710144928,0.6022905364677517,114.0
weighted avg,0.8220387194648922,0.8859649122807017,0.8517940420671933,114.0
